# Rime user dictionary
#@/db_name	dust_flypy
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	1031
#@/user_id	bc54eb90-dfc3-4ad5-9cc1-8d1b050ca8b0
a 	啊	c=4 d=1.78299 t=1031
a 	阿	c=1 d=0.995012 t=1031
a duo ni si 	阿多尼斯	c=1 d=0.726149 t=1031
a la si jia wan 	阿拉斯加湾	c=2 d=1.96531 t=1031
a li 	阿里	c=1 d=0.980199 t=1031
a li yun pan 	阿里云盘	c=1 d=0.985112 t=1031
ai 	爱	c=4 d=3.54532 t=1031
ai ni 	爱你	c=1 d=0.909373 t=1031
ai qing 	爱情	c=1 d=0.694197 t=1031
an pai 	安排	c=1 d=0.985112 t=1031
an zhuang 	安装	c=1 d=1 t=1031
ao mi 	奥秘	c=1 d=0.718924 t=1031
ba ge da 	巴格达	c=1 d=0.752014 t=1031
bai du wang pan 	百度网盘	c=1 d=0.97531 t=1031
ban sheng yuan 	半生缘	c=1 d=0.960789 t=1031
ban wei 	班委	c=1 d=0.960789 t=1031
bao 	保	c=1 d=1 t=1031
bao rong 	包容	c=0 d=0.0362402 t=1031
bao rong wo 	包容我	c=2 d=1.09037 t=1031
bao you 	保有	c=1 d=0.771052 t=1031
bei 	被	c=2 d=1.12597 t=1031
bei ke 	备课	c=1 d=1 t=1031
ben di 	本地	c=1 d=0.66034 t=1031
ben lai 	本来	c=1 d=0.927743 t=1031
ben ren 	本人	c=1 d=0.97531 t=1031
bi ji 	笔记	c=2 d=1.95101 t=1031
bi mo 	笔墨	c=1 d=0.767206 t=1031
bi ran 	必然	c=2 d=0.659413 t=1031
bi sheng 	必胜	c=1 d=0.839457 t=1031
bi shi 	笔试	c=1 d=0.937067 t=1031
bian fu xia 	蝙蝠侠	c=2 d=1.96042 t=1031
bian ji 	编辑	c=1 d=0.985112 t=1031
bian jie 	辩解	c=1 d=0.900325 t=1031
bian shi 	便是	c=1 d=0.913931 t=1031
biao ben 	标本	c=1 d=0.600496 t=1031
bie 	别	c=1 d=0.755784 t=1031
bie guai wo 	别怪我	c=1 d=0.946485 t=1031
bo hui 	驳回	c=2 d=1.69581 t=1031
